"","class","y0","ymax","y50","H"
"1","Carboxylic acids and derivatives","-97.1222925399534","527.364843321609","559.842593966765","0.000574820180627247"
"2","Organic phosphoric acids and derivatives","106.286791193029","230.938844199596","289.269779273161","0.00431924401768397"
"3","Organonitrogen compounds","26.7413094493262","376.35668288306","335.139396454256","0.00199517569543038"
"4","Pyrimidine nucleotides","152.738932987016","241.003278210772","505.580787819765","0.00431207872041653"
