"","class","y0","ymax","y50","H"
"1","Pyrimidine nucleotides","152.738942379518","241.003260506868","505.580766561748","0.00431208040873599"
"2","Carboxylic acids and derivatives","-97.1224841946783","527.364922426987","559.842309640449","0.00057481991537754"
"3","Organonitrogen compounds","26.7413085987585","376.356683432085","335.139396211447","0.00199517568281953"
"4","Organic phosphoric acids and derivatives","106.286791193029","230.938844199596","289.269779273161","0.00431924401768397"
