"","class","a","k","y0"
"1","Alkali metal iodides","0.612398342519917","0.737980911188076","96.0692052050032"
"2","Alkyl fluorides","0.0398576159256804","1.22462685980951","88.3432658056106"
"3","Anilides","7.16646059429893e-05","2.18583601181689","142.076761207971"
"4","Carbohydrates and carbohydrate conjugates","0.477345031100135","0.893831768930298","84.6900247087985"
"5","Fatty acids and conjugates","-1611.02567209695","-0.41301987111844","332.284637000324"
"6","Organosulfonic acids and derivatives","0.00122341362681154","1.71637978437879","121.102527476946"
"7","Pyrimidines and pyrimidine derivatives","-1217.88693682449","-0.450262985260389","262.064587112276"
