"","Compound","m/z","CCS/z","rsd","X curve","Y curve","CI lo","CI hi","PI lo","PI hi","std error"
"1917","HISTIDINE",156.0757,132.1,0.1,791.262761864407,259.920827929799,258.032266285031,261.809389574566,219.425417378669,300.416238480928,17.3410319220982
"1918","HISTIDINE",156.0757,132.1,0.1,794.688317288136,260.508775242967,258.617419782598,262.400130703335,220.013234302069,301.004316183864,17.3410319220982
"1919","HISTIDINE",156.0774,131.7,0,798.113872711864,261.096243150804,259.202081965769,262.99040433584,220.600571070774,301.591915230835,17.3410319220982
"1920","HISTIDINE",156.0774,131.7,0,801.539428135593,261.683234099352,259.786255366378,263.580212832327,221.187430132376,302.179038066329,17.3410319220982
"1938","HOMOCYSTEINE",134.029,143.6,0.1,804.964983559322,262.269750511775,260.36994249287,264.169558530681,221.773813911579,302.765687111972,17.3410319220982
"1939","HOMOCYSTEINE",156.0105,127.6,0.3,808.390538983051,262.855794788671,260.953145830606,264.758443746736,222.359724810511,303.351864766832,17.3410319220982
"1940","HOMOCYSTEINE",136.0413,130.3,0.1,811.81609440678,263.441369308377,261.535867842175,265.346870774579,222.945165209028,303.937573407726,17.3410319220982
"1941","HOMOCYSTINE",289.03,154.2,0.1,815.241649830508,264.026476427267,262.118110967687,265.934841886847,223.530137465013,304.522815389521,17.3410319220982
"1942","HOMOCYSTINE",267.0474,151.6,0.1,818.667205254237,264.611118480049,262.699877625077,266.52235933502,224.114643914672,305.107593045425,17.3410319220982
"1943","HOMOCYSTINE",291.0417,158.8,0.1,822.092760677966,265.19529778005,263.281170210389,267.109425349711,224.698686872823,305.691908687278,17.3410319220982
"1944","HOMOCYSTINE",269.0622,158,0.1,825.518316101695,265.779016619505,263.861991098064,267.696042140947,225.282268633176,306.275764605835,17.3410319220982
"1946","HOMOSERINE",118.0509,120.2,0.2,828.943871525424,266.362277269832,264.442342641221,268.282211898444,225.865391468618,306.859163071047,17.3410319220982
"1947","HOMOSERINE",120.0654,125.9,0.3,832.369426949153,266.945081981908,265.022227171931,268.867936791885,226.448057631486,307.442106332331,17.3410319220982
"1991","Imazapyr",260.1035,164.13,0.2,835.794982372881,267.527432986338,265.601647001489,269.453218971186,227.030269353833,308.024596618843,17.3410319220982
"2048","Isobutyrylamino Acetic Acid",144.0661,140.45,0.38,839.22053779661,268.109332493719,266.18060442068,270.038060566757,227.612028847696,308.606636139741,17.3410319220982
"2095","L-(+)-Lactic Acid",89.0239,151.62,0.71,842.646093220339,268.690782694902,266.75910170004,270.622463689764,228.193338305356,309.188227084448,17.3410319220982
"2096","L-allo-Isolecuine",130.0868,131.81,0.25,846.071648644068,269.271785761249,267.337141090116,271.206430432383,228.774199899596,309.769371622903,17.3410319220982
"2097","L-allo-Isolecuine",132.1024,133.62,0.25,849.497204067797,269.852343844881,267.914724821715,271.789962868047,229.354615783947,310.350071905815,17.3410319220982
"2098","L-Allo-Isoleucine",130.0868,133.78,0.09,852.922759491525,270.432459078927,268.491855106158,272.373063051696,229.934588092941,310.930330064913,17.3410319220982
"2099","L-alpha-Aminoadipate",160.061,131.45,0.62,856.348314915254,271.012133577769,269.068534135521,272.955733020017,230.514118942353,311.510148213185,17.3410319220982
"2100","L-alpha-Aminoadipate",184.0586,135.08,0.29,859.773870338983,271.591369437277,269.644764082876,273.537974791678,231.093210429438,312.089528445116,17.3410319220982
"2101","L-alpha-Aminoadipate",162.0766,140.89,0.35,863.199425762712,272.170168735049,270.22054710253,274.119790367569,231.671864633168,312.66847283693,17.3410319220982
"2102","L-Arginine",173.1044,138.03,0.04,866.624981186441,272.748533530639,270.795885330255,274.701181731023,232.250083614464,313.246983446814,17.3410319220982
"2103","L-Arginine",175.119,136.84,0.04,870.05053661017,273.326465865784,271.37078088352,275.282150848049,232.827869416422,313.825062315147,17.3410319220982
