"","Compound","m/z","CCS/z","rsd","X curve","Y curve","CI lo","CI hi","PI lo","PI hi","std error"
"1034","Cs(NaI)4 or Na(CsI)(NaI)3",732.4824,165.57,0.71,1725.8382852459,245.21397821959,240.598739171705,249.829217267474,212.570263996138,277.857692443041,13.520583998733
"1035","Cs(NaI)5 or Na(CsI)(NaI)4 (peak 1, high CCS, primary)",882.3767,200.71,2.09,1772.68925245902,248.026149060903,243.31656765246,252.735730469347,215.368962962343,280.683335159464,13.520583998733
"1036","Cs(NaI)5 or Na(CsI)(NaI)4 (peak 2, low CCS)",882.3767,194.72,0.67,1819.54021967213,250.809782855285,246.000527103854,255.619038606716,218.138073568566,283.481492142005,13.520583998733
"1037","Cs(NaI)6 or Na(CsI)(NaI)5",1032.2709,204,0.52,1866.39118688525,253.565893111545,248.652158859287,258.479627363804,220.878641297802,286.253144925289,13.520583998733
"1038","Cs(NaI)7 or Na(CsI)(NaI)6",1182.1652,216.75,0.79,1913.24215409836,256.295432913287,251.272903763384,261.317962063189,223.591649555778,288.999216270795,13.520583998733
"1039","Cs(NaI)9 or Na(CsI)(NaI)8",1481.9537,241.53,0.68,1960.09312131148,258.999299907154,253.864107736565,264.134492077742,226.278024787408,291.7205750269,13.520583998733
"2476","Na(CsI)1 or Cs(NaI)1",282.7997,132.84,0.41,2006.94408852459,261.678340770327,256.427027570684,266.92965396997,228.938641059518,294.418040481137,13.520583998733
"2477","Na(CsI)2 or Cs(NaI)(CsI)",542.6096,155.8,0.62,2053.7950557377,264.333355222471,258.962836790436,269.703873654507,231.574324176635,297.092386268308,13.520583998733
"2478","Na(CsI)3 or Cs(NaI)(CsI)2",802.4195,169.95,0.62,2100.64602295082,266.965099637892,261.472631446913,272.45756782887,234.185855386961,299.744343888822,13.520583998733
"2479","Na(CsI)4 or Cs(CsI)3(NaI)",1062.2294,187.58,0.2,2147.49699016393,269.574290305733,263.957435741501,275.191144869966,236.773974727542,302.374605883925,13.520583998733
"2480","Na(CsI)5 or Cs(CsI)4(NaI)",1332.0594,230.9,1.27,2194.34795737705,272.161606379432,266.418207407246,277.905005351619,239.339384050849,304.983828708015,13.520583998733
"2481","Na(CsI)5 or Cs(CsI)4(NaI)",1322.0393,209.2,0.9,2241.19892459016,274.727692551006,268.855842799592,280.59954230242,241.882749769256,307.572635332756,13.520583998733
