"","Compound","m/z","CCS/z","rsd","X curve","Y curve","CI lo","CI hi","PI lo","PI hi","std error","SD"
"3486","Tris(2,3-dibromopropyl) phosphate",716.5685,206.9,1e-06,544.828444680851,221.840474951267,215.705000037492,227.975949865043,192.72544274504,250.955507157494,11.8087132353887,29.7343664596854
"3487","Tris(2-butoxyethyl) phosphate",421.2322,199.4,0.000576,557.095591489362,222.817370044976,216.59501583567,229.039724254282,193.683905783784,251.950834306167,11.8087132353887,29.7343664596854
"3488","Tris(2-chloroethyl) phosphate",306.9424,161.4,0.000481,569.362738297872,223.695950038633,217.394649451857,229.997250625409,194.545522305288,252.846377771978,11.8087132353887,29.7343664596854
"3489","Tris(2-chloroisopropyl) phosphate",348.9896,171.3,0.000291,581.629885106383,224.484749453994,218.111940227855,230.857558680132,195.318780493837,253.65071841415,11.8087132353887,29.7343664596854
"3490","Tris(2-ethylhexyl) phosphate",457.341,231.8,0.000512,593.897031914894,225.191848300474,218.754447538685,231.629249062263,196.011697914981,254.371998685966,11.8087132353887,29.7343664596854
"3491","Tris(tert-butylphenyl) phosphate",517.2469,243.9,0.000401,606.164178723404,225.82483047752,219.329227761174,232.320433193866,196.631785028293,255.017875926748,11.8087132353887,29.7343664596854
"3566","3-Hydroxyphenyl diphenyl phosphate",341.0594,180.4,0.000547,618.431325531915,226.390761786008,219.842825935912,232.938697636104,197.186027377885,255.595496194132,11.8087132353887,29.7343664596854
"3567","3-Hydroxyphenyl diphenyl phosphate",683.1252,242,0.000192,630.698472340425,226.89618352945,220.301279107764,233.491087951136,197.680882533512,256.111484525388,11.8087132353887,29.7343664596854
"3568","4-Hydroxyphenyl diphenyl phosphate",341.0593,181.9,0.000374,642.965619148936,227.347118169494,220.710128645865,233.984107693124,198.122288351532,256.571947987456,11.8087132353887,29.7343664596854
"3569","4-Hydroxyphenyl diphenyl phosphate",683.1265,251.3,0.000847,655.232765957447,227.749084005946,221.074439201685,234.423728810208,198.515679633292,256.982488378601,11.8087132353887,29.7343664596854
"3570","4-Hydroxyphenyl phenyl phosphate",265.0273,157.6,0.000387,667.499912765957,228.107116344135,221.398822328344,234.815410359926,198.866010746803,257.348221941468,11.8087132353887,29.7343664596854
"3571","Bis(1,3-dichloro-2-propyl) phosphate",316.9078,157.7,0.000122,679.767059574468,228.425793069601,221.68746313275,235.164123006452,199.177782226299,257.673803912903,11.8087132353887,29.7343664596854
"3572","Bis(2-butoxyethyl) phosphate",297.1467,175.9,0.000158,692.034206382979,228.709262959489,221.944148650238,235.47437726874,199.45506976314,257.963456155837,11.8087132353887,29.7343664596854
"3573","Di-n-butyl phosphate",209.0956,150.9,0.000101,704.301353191489,228.961275416547,222.172296912198,235.750253920897,199.701554346712,258.220996486383,11.8087132353887,29.7343664596854
"3574","Diphenyl hydrogen phosphate",249.0319,152.8,9.9e-05,716.5685,229.18521061493,222.374985918332,235.995435311528,199.920552606161,258.449868623699,11.8087132353887,29.7343664596854
