"","Compound","m/z","CCS/z","rsd","X curve","Y curve","CI lo","CI hi","PI lo","PI hi"
"453","8S-HETE",319.2235,184.14,0.14,347.356744144144,189.56020035466,187.685004726104,191.435395983215,162.413789818835,216.706610890485
"454","9-HODE",319.2249,188.2,0.45,351.001361261261,190.31012702766,188.427995024924,192.192259030395,163.163236465204,217.457017590115
"455","9-HODE",295.2273,179.73,0.09,354.645978378378,191.051941002366,189.162604821234,192.941277183499,163.904550012816,218.199331991917
"457","9-OxoODE",317.2093,198.51,0.7,358.290595495495,191.785812073626,189.889017154075,193.682606993177,164.637900969804,218.933723177448
"458","9-OxoODE",295.2273,183.61,0.27,361.935212612613,192.51190480039,190.607409326116,194.416400274664,165.363454580429,219.660355020351
"459","9-OxoODE",293.2117,179.67,0.03,365.57982972973,193.230378718013,191.31795312788,195.142804308146,166.081371038689,220.379386397337
"565","ADIPATE",169.0465,136.05,0.08,369.224446846847,193.94138853991,192.020815051756,195.861962028063,166.791805691225,221.090971388594
"566","ADIPATE",167.032,132.01,0.11,372.869063963964,194.645084349224,192.716156496349,196.574012202099,167.494909230161,221.795259468287
"567","ADIPATE",145.0501,127.1,0.07,376.513681081081,195.341611781089,193.404133961673,197.279089600505,168.190827876477,222.492395685701
"573","Adrenic acid",355.2606,191.87,0.6,380.158298198198,196.031112196021,194.084899235663,197.977325156379,168.879703554456,223.182520837586
"574","Adrenic acid",331.263,189.97,0.88,383.802915315315,196.713722844972,194.75859957245,198.668846117493,169.561674057726,223.865771632217
"575","Adrenic acid",333.2787,188.47,0.11,387.447532432432,197.389577026502,195.425377862818,199.353776190186,170.236873207383,224.542280845621
"601","alpha-3 Arachidonic Acid",303.2324,186.4,0.06,391.09214954955,198.058804236533,196.085372797216,200.032235675849,170.905431002625,225.21217747044
"602","alpha-3 Arachidonic Acid",327.23,180.26,0.08,394.736766666667,198.721530311084,196.738719021724,200.704341600444,171.567473764347,225.875586857822
"603","alpha-3 Arachidonic Acid",305.248,178.01,0.17,398.381383783784,199.377877562396,197.385547287273,201.370207837519,172.223124272054,226.532630852738
"618","alpha+/-Linolenic acid (C18:3)",277.2167,173.63,0.06,402.026000900901,200.027964908789,198.025984592486,202.029945225093,172.872501894488,227.18342792309
"619","alpha+/-Linolenic acid (C18:3)",301.2143,171.14,0,405.670618018018,200.671907998616,198.660154320413,202.683661676819,173.515722714303,227.828093282929
"761","ARACHIDATE",311.2953,185.12,0.12,409.315235135135,201.309819328614,199.288176369475,203.331462287753,174.152899647096,228.466739010132
"762","Arachidic acid (C20:0)",327.23,198.9,0.03,412.959852252252,201.941808356965,199.910167278869,203.973449435062,174.784142555126,229.099474158805
"763","Arachidic acid (C20:0)",303.2324,185.47,0.12,416.604469369369,202.567981611342,200.526240348706,204.609722873979,175.409558355974,229.726404866711
"764","Arachidic acid (Eicosanoic acid)",311.2956,186.17,0.05,420.249086486486,203.188442792205,201.136505755127,205.240379829283,176.029251126429,230.34763445798
"765","Arachidonic acid",303.233,183.66,0.09,423.893703603604,203.803292871593,201.741070660618,205.865515082568,176.643322201844,230.963263541342
"766","Arachidonic acid (C20:4)",303.2324,181.29,0.03,427.538320720721,204.412630187657,202.340039319767,206.485221055547,177.251870271192,231.573390104122
"767","Arachidonic acid (C20:4)",327.23,180.07,0.11,431.182937837838,205.016550535132,202.933513180644,207.09958788962,177.854991468054,232.17810960221
"789","AZELATE",211.0945,148.44,0.02,434.827554954955,205.615147251973,203.52159098203,207.708703521915,178.452779457732,232.777515046213
